Тип перевода;Тип зачисления;Тип выдачи;Валюта перевода;Срок перевода;Процентная ставка;Минимальная комиссия;Максимальная комиссия
РФ/Международный;Нал/Безнал;Нал/Счет/Карта/Колибри/Маниграмм;Рубли/Доллары/Евро;Временой интервал;%;Сумма в рублях;Сумма в рублях
;;;;;;;
РФ;Нал;Нал;Рубли;2 дня;0;0;0
РФ;Нал;Счет;Рубли;1 день;0;0;0
РФ;Нал;Карта;Рубли;1 день;0;0;0
РФ;Нал;Колибри;Рубли;10 минут;1,75;150;3000
РФ;Безнал;Нал;Рубли;2 дня;1;30;1000
РФ;Безнал;Счет;Рубли;2 дня;1;30;1000
РФ;Безнал;Карта;Рубли;2 дня;1;30;1000
Международный;Нал;Нал;Рубли;2 дня;2;50;2000
Международный;Нал;Счет;Рубли;1 день;2;50;2000
Международный;Нал;Нал;Доллары;2 дня;1;15;200
Международный;Нал;Счет;Доллары;1 день;1;15;200
Международный;Нал;Нал;Евро;2 дня;1;15;200
Международный;Нал;Счет;Евро;1 день;1;15;200
Международный;Нал;Колибри;Рубли;1 час;1;150;3000
Международный;Нал;Колибри;Доллары;1 час;1;5;100
Международный;Нал;Колибри;Евро;1 час;1;5;100
Международный;Нал;Маниграмм;Доллары;10 минут;;2;
Международный;Безнал;Нал;Рубли;2 дня;2;50;1500
Международный;Безнал;Счет;Рубли;2 дня;2;50;1500
Международный;Безнал;Нал;Доллары;2 дня;1;15;200
Международный;Безнал;Счет;Доллары;2 дня;1;15;200
Международный;Безнал;Нал;Евро;2 дня;1;15;200
Международный;Безнал;Счет;Евро;2 дня;1;15;200
